event_id,label,start_timestamp,duration,utm_x,utm_y,elevation,utm_zone,file_ids,file_start_time_offsets,tdoas,distance_residuals,residual_rms,mean_cc_max,hawkears_confirmed
OKLG8_WEML_0020,Western Meadowlark,2025-06-16 12:15:25.500000+00:00,3.0,306246.89144288213,5466521.549456262,676.4375070452813,11U,"[""OKLG-8-D2_20250616_120000"", ""OKLG-8-C1_20250616_120000"", ""OKLG-8-D3_20250616_120000"", ""OKLG-8-C3_20250616_120000"", ""OKLG-8-E1_20250616_120000"", ""OKLG-8-C2_20250616_120000"", ""OKLG-8-E2_20250616_120000"", ""OKLG-8-E3_20250616_120000""]","[462.0, 462.0, 462.0, 462.0, 462.0, 462.0, 462.0, 462.0]","[0.0, 0.13907099179858445, -0.02372067486808216, 0.07950849179858449, 0.0025709917985844988, 0.0978209917985845, -0.08753317486808215, -0.12522067486808217]","[0.0, -0.7417830614630178, -0.09858956290709645, -0.7492603258212842, -0.07631227741267506, -0.7379221291488869, -0.07411630870015963, 0.684610164877582]",0.5179152905492919,0.1687062289565801,True
OKLG8_WEML_0021,Western Meadowlark,2025-06-16 12:16:28+00:00,3.0,306247.8236609071,5466521.216276072,677.42373771639,11U,"[""OKLG-8-E4_20250616_120000"", ""OKLG-8-F3_20250616_120000"", ""OKLG-8-D5_20250616_120000"", ""OKLG-8-E5_20250616_120000"", ""OKLG-8-F4_20250616_120000"", ""OKLG-8-E3_20250616_120000"", ""OKLG-8-F5_20250616_120000"", ""OKLG-8-D4_20250616_120000"", ""OKLG-8-D3_20250616_120000""]","[493.5, 493.5, 493.5, 493.5, 493.5, 493.5, 493.5, 493.5, 493.5]","[0.0, -0.13640817486808218, 0.13798765846525113, 0.0900293251319178, -0.0281790082014155, -0.05894984153474886, 0.07348765846525118, 0.07305015846525115, 0.04257099179858448]","[0.0, 0.5469663611800869, -0.8978872723927174, -0.5271913638216852, -0.05915773797654849, 0.4194897873861977, -0.8985507230807044, -0.4965532891654443, -0.35910991074697624]",0.5523378904344278,0.1841205784844027,True
OKLG8_WEML_0022,Western Meadowlark,2025-06-16 12:16:31.500000+00:00,3.0,306247.5057145116,5466521.125889833,677.9530085794843,11U,"[""OKLG-8-G3_20250616_120000"", ""OKLG-8-F4_20250616_120000"", ""OKLG-8-F3_20250616_120000"", ""OKLG-8-G4_20250616_120000"", ""OKLG-8-F2_20250616_120000""]","[495.0, 495.0, 495.0, 495.0, 495.0]","[0.0, 0.006362658465251136, -0.10159567486808219, 0.05167515846525117, -0.021283174868082178]","[0.0, -0.10036163056176199, 0.5305387412786619, -0.4749507405767117, 0.001190534461823457]",0.3215970883678004,0.2706996649503708,True
OKLG8_WEML_0023,Western Meadowlark,2025-06-16 12:17:01.500000+00:00,3.0,306247.7218132935,5466521.294214518,677.7002077553385,11U,"[""OKLG-8-F4_20250616_120000"", ""OKLG-8-F5_20250616_120000"", ""OKLG-8-G3_20250616_120000"", ""OKLG-8-G4_20250616_120000"", ""OKLG-8-E4_20250616_120000"", ""OKLG-8-E3_20250616_120000"", ""OKLG-8-E5_20250616_120000"", ""OKLG-8-F3_20250616_120000""]","[510.0, 510.0, 510.0, 510.0, 510.0, 510.0, 510.0, 510.0]","[0.0, 0.10098765846525115, -0.006720674868082199, 0.04505015846525118, 0.028341825131917797, -0.030699841534748862, 0.11865432513191781, -0.10792900820141549]","[0.0, -0.6092018053384007, -0.08207162038125215, -0.44554778837009984, -0.09824348774212036, 0.23810852975624108, -0.6813107860896095, 0.5121812495494305]",0.4137083659837463,0.1721546053886413,True
OKLG8_WEML_0024,Western Meadowlark,2025-06-16 12:19:25.500000+00:00,3.0,306048.6332260586,5466375.70148268,652.4690466432257,11U,"[""OKLG-8-B7_20250616_120000"", ""OKLG-8-C7_20250616_120000"", ""OKLG-8-A6_20250616_120000"", ""OKLG-8-A7_20250616_120000""]","[582.0, 582.0, 582.0, 582.0]","[0.0, 0.11398765846525116, -0.040783174868082195, -0.09528317486808219]","[0.0, -0.31894525044491445, 0.0008011100058284744, 0.12077702616144531]",0.1705240486023988,0.272909692954272,True
OKLG8_WEML_0025,Western Meadowlark,2025-06-16 12:19:34+00:00,3.0,306214.9007710759,5466589.715539536,693.2550117081872,11U,"[""OKLG-8-F2_20250616_120000"", ""OKLG-8-E1_20250616_120000"", ""OKLG-8-F1_20250616_120000"", ""OKLG-8-G1_20250616_120000""]","[586.5, 586.5, 586.5, 586.5]","[0.0, -0.1463040082014155, -0.044179008201415515, 0.05407099179858449]","[0.0, 0.02933633292967636, 0.21105983192737435, -0.20689237274522418]",0.148501958727083,0.2651251424103975,True
OKLG8_WEML_0026,Western Meadowlark,2025-06-16 12:21:28+00:00,3.0,306247.8079094798,5466521.000311798,676.4657805024502,11U,"[""OKLG-8-E2_20250616_120000"", ""OKLG-8-D2_20250616_120000"", ""OKLG-8-F3_20250616_120000"", ""OKLG-8-F1_20250616_120000"", ""OKLG-8-D3_20250616_120000"", ""OKLG-8-E3_20250616_120000"", ""OKLG-8-E1_20250616_120000"", ""OKLG-8-F2_20250616_120000""]","[643.5, 643.5, 643.5, 643.5, 643.5, 643.5, 643.5, 643.5]","[0.0, 0.08896682513191784, -0.11384567486808217, 0.07505015846525115, 0.06513349179858446, -0.03640817486808218, 0.09255015846525116, -0.03378317486808219]","[0.0, -0.3892791308535711, 0.12139395543975032, -0.4698681377469014, -0.5921957312107802, 0.09342225630487137, -1.0151640021281423, 0.3634265851380829]",0.4885067984486602,0.2032396481372416,True
OKLG8_WEML_0027,Western Meadowlark,2025-06-16 12:22:01.500000+00:00,3.0,306274.0341261526,5466546.325988745,696.4792046539401,11U,"[""OKLG-8-G1_20250616_120000"", ""OKLG-8-F2_20250616_120000"", ""OKLG-8-F1_20250616_120000"", ""OKLG-8-G2_20250616_120000""]","[660.0, 660.0, 660.0, 660.0]","[0.0, -0.05530400820141551, 0.004654325131917825, -0.06659567486808216]","[0.0, 0.00013276258622906662, 7.422793829895923e-07, 0.00014822046032618517]",9.949341704381626e-05,0.3059339532628655,True
OKLG8_WEML_0028,Western Meadowlark,2025-06-16 12:22:04+00:00,3.0,306274.0341261517,5466546.325988748,696.4792046492158,11U,"[""OKLG-8-G1_20250616_120000"", ""OKLG-8-F1_20250616_120000"", ""OKLG-8-F2_20250616_120000"", ""OKLG-8-G2_20250616_120000""]","[661.5, 661.5, 661.5, 661.5]","[0.0, 0.004654325131917825, -0.05530400820141551, -0.06659567486808216]","[0.0, 7.421423965595573e-07, 0.00013276203950824092, 0.0001482198660314201]",9.94930130663664e-05,0.3026058934628963,True
OKLG8_WEML_0029,Western Meadowlark,2025-06-16 12:25:22+00:00,3.0,306369.91976446303,5466552.319697013,676.6816169052624,11U,"[""OKLG-8-F3_20250616_120000"", ""OKLG-8-G2_20250616_120000"", ""OKLG-8-G3_20250616_120000"", ""OKLG-8-F2_20250616_120000"", ""OKLG-8-G4_20250616_120000""]","[760.5, 760.5, 760.5, 760.5, 760.5]","[0.0, -0.12111650820141551, -0.10136650820141552, -0.02182484153474884, -0.041220674868082174]","[0.0, 0.024245275226000156, 0.08304015200506311, -0.011405182005006367, -0.011095199935539672]",0.0393361966996948,0.2285654824227094,True
OKLG8_WEML_0030,Western Meadowlark,2025-06-16 12:30:04+00:00,3.0,306106.760164575,5466605.669726946,698.3773854112784,11U,"[""OKLG-8-B1_20250616_120000"", ""OKLG-8-A1_20250616_120000"", ""OKLG-8-C1_20250616_120000"", ""OKLG-8-B2_20250616_120000""]","[901.5, 901.5, 901.5, 901.5]","[0.0, 0.05261265846525115, 0.07884182513191784, 0.10850849179858446]","[0.0, 0.09883447590171635, -0.15126024475247166, -0.7821866068701634]",0.4013925146400977,0.2663298475090414,True
OKLG8_WEML_0031,Western Meadowlark,2025-06-16 12:30:19.500000+00:00,3.0,306231.0687339692,5466559.593993847,687.6335392939868,11U,"[""OKLG-8-F1_20250616_120000"", ""OKLG-8-F2_20250616_120000"", ""OKLG-8-G1_20250616_120000"", ""OKLG-8-E2_20250616_120000"", ""OKLG-8-E1_20250616_120000""]","[909.0, 909.0, 909.0, 909.0, 909.0]","[0.0, -0.03934567486808216, 0.0778834917985845, -0.05753317486808218, -0.016220674868082152]","[0.0, 0.1652497610762111, -0.46840113656600973, -0.025598113227066746, -0.035285895276025075]",0.222983168009736,0.236744674295187,True
